title_author,text_stemmered
If I Die in a Combat Zone de Tim O'Brien,die combat zone tim o'brien vietnam war 1961-1975 perhap best book emerg vietnam war -- reissu alongsid five jewel flamingo backlist 1970s first publish in1973 intens person novel one foot soldier tour duti vietnam establish tim o'brien reput outstand chronicl vietnam experi generat american basic train front line back take reader unforgett journey -- walk minefield lai fight heat sniper alien land crawl ghost tunnel -- explor ambigu manhood moral war one believ
The Return of the King de J. R. R. Tolkien,return king j r r tolkien baggin frodo fictiti charact greatest fantasi epic time evil might dark lord sauron swarm conquer middle-earth frodo sam struggl deep mordor seat sauron power defeat dark lord accurs ring power destroy fire mount doom way imposs hard frodo weaken weigh compuls ring began final despair awesom conclus j r r tolkien lord ring belov million reader around world
The Silmarillion de John Ronald Reuel Tolkien; Ted Nasmith,"silmarillion john ronald reuel tolkien ted nasmith fiction design take fan hobbit lord ring deeper myth legend middle-earth silmarillion account elder day first age tolkien world ancient drama charact lord ring look back whose event elrond galadriel took part tale silmarillion set age morgoth first dark lord dwelt middle-earth high elv made war upon recoveri silmaril jewel contain pure light valinor includ book sever shorter work ainulindal myth creation valaquenta natur power god describ akallabeth recount downfal great island kingdom numenor end second age ring power tell great event end third age narrat lord ring pivot work featur revis correct text includ way introduct fascin letter written tolkien 1951 give full explan conceiv earli age middle-earth """
I Wish that I Had Duck Feet de Dr. Seuss; Barney Tobey,wish duck feet dr seuss barney tobey children boy imagin would like thing duck feet whale spout eleph trunk
Oh Say Can You Say? de Dr. Seuss,oh say say? dr seuss children tie tongu terribl knot tri read aloud nonsens rhyme stori
There's a Boy in the Girls' Bathroom de Louis Sachar,there boy girl bathroom loui sachar boy studi guid novel there boy girl bathroom
Microserfs de Douglas Coupland,microserf dougla coupland technolog comput giant microsoft dan susan abe todd bug struggl get life job may super cool pay may astronom head nowher howev hard work howev mani share earn never go rich bill besid hour put best relationship e-mail someth got give
Miss Wyoming de Douglas Coupland,miss wyom dougla coupland actor brilliant new novel bestsel cult author susan john need disappear -- susan john need find meet susan colgat -- miss wyom winner hundr teen pageant child tv soap star owner hideous pushi mother reduc small brainless part small brainless movi oh sole survivor flight 802 walk away wreckag emerg crew get could disappear nobodi would ever know meet john johnson -- action film produc bel air p um bel air p 2 occasion sado-masochist junki die -- 5 minut gone saw vision woman face realiz time escap ditch baggag horni rich lone john johnson lose disappear nice find get together?in mani way repris girlfriend coma miss wyom repres leap forward world accord coupland -- witti genuin funni look chang make differ
Where Rainbows End de Cecelia Ahern,rainbow end cecelia ahern friendship new warm absorb stori author ps love bittersweet tale childhood friend rosi alex whose relationship must surviv mani trial tribul least discoveri true feel one anoth naughti children rebelli teenag mixed-up twenty- thirty-someth rosi alex stuck thick thin even alex move across atlant boston rosi fell pregnant teenag alex supportsrosi one difficult time life -- time parti go univers instead chang nappi cope scream babi return rosi alex strugglesthrough medic internship cope messi divorc throughout up down other live remain constant shoulder cri someon laugh share innermost feel friendship surviv year mile critic marri someon else? meant good friend along? misunderstand circumst sheer bad luck
Poirot de Agatha Christie,poirot agatha christi author final poirot omnibus featur last four appear detect side-kick sleuth crime novelist ariadn oliv third girl hallowe'en parti eleph rememb pale hors poirot mrs oliv continu sleuth 1960s four uncharacterist modern novel ad twist danger third girl poirot final admit grow old perplex girl think may kill someon christi drag poirot swing 60s effect squar world featur sex drug hippi hallowe'en parti teenag murder wit drown tub appl second time christi wrote death child engross eleph rememb old husband wife doubl murder never solv -- last poirot stori agatha christi wrote garner good review pale hors priest death lead sinist goings-on old countri inn bonus novel featur mrs oliv without poirot one christi darkest stori blend witchcraft murder
The Art of The Lord of the Rings de Gary Russell,art lord ring gari russel costum definit guid design movi incorpor best artwork trilog plus mani never-before-publish paint sketch digit shot photo complet access artwork creat five-year period authorit insight book illustr creativ develop entir lord ring movi trilog offici book contain 400 exclus imag best artwork first three art book collect togeth mani much larger seen all-new text inform new interview mani artist addit book includ 100 unpublish artwork extend director cut three film digit imageri design avail first book publish print high-qual art paper lavish book ideal tolkien collector film enthusiast art student final allow massiv undertak make lord ring trilog fulli appreci
The Known World de Edward P. Jones,known world edward p jone african american plantat owner epic narrat take look slaveri moral complex
Discover Your Destiny with the Monk Who Sold His Ferrari de Robin Sharma,discov destini monk sold ferrari robin sharma conduct life potent pathway self-awaken help live greatest life claim happi prosper inner peac deserv author intern bestsel monk sold ferrari
Naked Lunch de William S. Burroughs,nake lunch william burrough psycholog anarch phenomen strong-sel classic godfath beat revitalis cool new jacket welcom interzon say hello bradley buyer best narcot agent busi attend intern playboy j 's annual parti punch treat extrem caution meet dr finger schafer lobotomi kid giant centiped the complet american de-anxiet man ' enter dark infern mind bill lee pursu daili quest ultim merchandis provoc influenti morbid fascin nake lunch apocalypt ride darker recess human psych
Tropic of Cancer de Henry Miller,tropic cancer henri miller fiction miller groundbreak first novel ban britain almost thirti year reinvigor new harper perenni modern classic edit penniless yet unpublish writer henri miller arriv pari 1930 leav behind disintegr marriag unhappi career america threw low-lif bohemian pari unwav gusto fiction account miller adventur amongst prostitut pimp penniless painter writer montparnass tropic cancer extravag rhapsod hymn world unrival erotic freedom tropic cancer 1934 public franc hail samuel beckett 'a moment event histori modern write novel subsequ ban uk usa releas public thirti year
Close Range de Annie Proulx,close rang anni proulx cowboy titl stori collect short film ang lee
The Love of the Last Tycoon de F. Scott Fitzgerald,love last tycoon f scott fitzgerald fiction depict inner-work hollywood movi industri impact fabric american life
The Song of Rhiannon de Evangeline Walton,song rhiannon evangelin walton fiction retel mabinogion novel form manawydon final unit rhiannon - aspect goddess - happi shaken appear gray man seek vengeanc live especi one would claim goddess
Heart Songs and Other Stories de Annie Proulx,heart song stori anni proulx fiction wrote pulitz prize-win bestsel ship news e anni proulx alreadi produc finest short fiction countri collect stori includ two new work never antholog stori reverber rural tradit rite natur ritual small-town life countri blue-collar new england charact nativ famili dispossess work class whose heritag challeng neorur bourgeoisi citi theme element landscap reveng malic greed passion told skill profund craft master storytel lean tough tale extraordinari place peopl
The voyage of the Dawn Treader de Clive Staples Lewis,"voyag dawn treader clive stapl lewi fiction ""dawn treader"" first ship narnia seen centuri king caspian built voyag find seven lord good men evil uncl mizaz banish usurp throne journey take edmund luci cousin eustac eastern island beyond silver sea toward aslan countri end world illustr"
The Short Stories of Ernest Hemingway de Ernest Hemingway,short stori ernest hemingway ernest hemingway fiction forty-nin stori reflect much intens hemingway life environ
"The Screwtape Letters ; With, Screwtape Proposes a Toast de Clive Staples Lewis",screwtap letter screwtap propos toast clive stapl lewi religion one c lewi imagin creation world-fam book humor correspond devil screwtap apprentic wormwood whose job produc human soul etern hell fill astut insight temptat repent grace wonder tale intellig explor mean live good honest life favorit lewi fan
The Elements of Style de William Strunk; Elwyn Brooks White,element style william strunk elwyn brook white educ style manual ever appear best-sel list offer practic fundament advic improv write skill promot style mark simplic orderli sincer
The Presocratics de Philip Wheelwright,presocrat philip wheelwright psycholog librari liber art titl
The Rumble Seat Pony de Clarence William Anderson,rumbl seat poni clarenc william anderson natur treatment ride rumbl seat old yellow car three children spot adopt neglect poni
The Journey with Grandmother de Edith Unnerstad,"journey grandmoth edith unnerstad grandmoth swedish boy long ago accompani [relatives] fromn scandinavian farm russia attempt earn money make unusu object human hair "" - book buyer guid"
Tyranny of the Majority de Lani Guinier,tyranni major lani guinier histori last public hear deni essay reveal keen power analysi appli obdur problem bedevil elector polit anyon care mechan democraci engag tough-mind explor matter think stand argu agre -- henri loui gate jr lani guinier fascin book prophet intervent public convers desper need rejuven doubt power voic produc good consequ nation world -- cornel west author race matter intrigu desper need -- san francisco chronicl
